Test,MD m,TVD m,Pressure Channel,Initial Pressure bar,Minimum Drawdown Pressure bar,Final Buildup Pressure bar,Observed Drawdown bar,Observed Recovery bar,Source Formation Pressure bar,Final minus Source Pressure bar,Source Mobility mD/cP,Drawdown Duration s,Buildup Duration s,Closure Error bar,Absolute Closure Error bar,Recovery Fraction,Pressure Closure,Drawdown Amplitude,Use for Observed Gradient
1,3005.61,2862.61,AQAP_F,286.6282,262.9994,286.6268,23.6288,23.6274,286.6336,-0.0068,31.5812,7.375,97.0,-0.0013999999999896318,0.0013999999999896318,0.999940750270856,Within criterion,Resolved amplitude,True
2,3017.01,2867.33,AQAP_F,286.9803,282.6765,286.9818,4.3038,4.3053,286.9953,-0.0135,157.248,7.375,100.1875,0.0015000000000213731,0.0015000000000213731,1.0003485292067475,Within criterion,Resolved amplitude,True
3,3031.01,2872.96,AQAP_F,287.1158,286.6076,287.1234,0.5082,0.5158,287.1371,-0.0137,1340.074,7.3125,101.0625,0.00760000000002492,0.00760000000002492,1.0149547422274696,Within criterion,Low amplitude,True
4,3110.01,2900.74,AQAP_F,289.6797,289.5063,289.6743,0.1734,0.168,289.6878,-0.0135,3530.346,7.4375,100.375,-0.005400000000008731,0.005400000000008731,0.9688581314878894,Within criterion,Low amplitude,True
5,3160.01,2914.99,AQAP_F,288.6713,285.5673,288.6672,3.104,3.0999,288.6805,-0.0133,263.8755,7.375,100.5,-0.004099999999993997,0.004099999999993997,0.9986791237113402,Within criterion,Resolved amplitude,True
6,3178.01,2919.38,AQAP_F,289.7186,286.3007,289.7081,3.4179,3.4074,289.72,-0.0119,210.4229,7.375,97.6875,-0.010499999999979082,0.010499999999979082,0.9969279382076713,Within criterion,Resolved amplitude,True
7,3199.71,2924.12,AQAP_F,290.019,285.6292,290.0108,4.3898,4.3816,290.023,-0.0122,156.0769,7.25,99.4375,-0.008199999999987995,0.008199999999987995,0.9981320333500386,Within criterion,Resolved amplitude,True
8,3290.01,2939.4,AQAP_F,291.6191,289.5515,291.6142,2.0676,2.0627,291.6344,-0.0202,317.3791,7.4375,100.8125,-0.004900000000020555,0.004900000000020555,0.9976301025343393,Within criterion,Resolved amplitude,True
9,3306.71,2942.7,AQAP_F,291.8473,278.6297,291.8386,13.2176,13.2089,291.8457,-0.0071,54.169,7.5,98.25,-0.008700000000033015,0.008700000000033015,0.9993417867086309,Within criterion,Resolved amplitude,True
10,3464.71,2993.27,AQAP_F,296.1964,295.9919,295.183,0.2045,-0.8089,295.2028,-0.0198,24102.99,8.4375,100.4375,-1.01339999999999,1.01339999999999,-3.9555012224938877,Outside criterion,Low amplitude,False
11,3499.81,3008.26,AQAP_F,296.8983,295.9994,296.2174,0.8989,0.218,296.2306,-0.0132,6139.889,7.0,99.6875,-0.6809000000000083,0.6809000000000083,0.24251863388586048,Outside criterion,Low amplitude,False
12,3544.85,3030.15,AQAP_F,298.0415,285.5733,298.0428,12.4682,12.4695,298.0453,-0.0025,56.6459,7.375,99.625,0.0013000000000147338,0.0013000000000147338,1.000104265250798,Within criterion,Resolved amplitude,True
13,3588.06,3054.52,AQAP_F,299.8944,281.4109,299.9018,18.4835,18.4909,299.9164,-0.0146,37.6295,7.3125,99.1875,0.007399999999961437,0.007399999999961437,1.0004003570752293,Within criterion,Resolved amplitude,True
14,3643.01,3089.58,AQAP_F,302.5669,242.1704,302.5717,60.3965,60.4013,302.5797,-0.008,16.5224,7.375,99.5625,0.004800000000045657,0.004800000000045657,1.0000794748040034,Within criterion,Resolved amplitude,True
